Артикул;Наименование;Ширина;Длина;
1.1389E+12;Покрывало Апачи;200;220;185
1.1389E+12;Плед Пале-Рояль;200;200;185
1.1389E+12;Плед Тропический лес;200;200;185
1.1389E+12;Плед;200;220;185
1.1389E+12;Плед Monet;200;220;185
1.13889E+12;Плед Monet;140;180;185
1.1389E+12;Плед Camellia;140;200;240
1.1389E+12;Плед Стелла;150;200;245
1.1389E+12;Плед nspiration;140;200;245
1.1389E+12;Плед;140;205;245
1.1389E+12;Плед;140;220;245
1.1389E+12;Пододеяльник Страйп коричневый;140;200;245
1.1389E+12;Простыня на резинке 23rd Avenue голубой;200;220;245
1.1389E+12;Простыня White Home;140;200;260
1.13891E+12;Простыня на резинке 23rd Avenue бежевый;160;200;260
1.13891E+12;Простыня на резинке 23rd  Avenue зелёный;140;200;295
1.13891E+12;Простыня на резинке ;140;200;295
1.13891E+12;Простыня ;140;200;295
1.13891E+12;Простыня Страйп кремовый;140;200;690
1.13891E+12;Пододеяльник ;200;220;520
1.13891E+12;Пододеяльник Страйп розовый;200;220;1290
1.13891E+12;Пододеяльник Страйп стальной;140;200;690
1.13891E+12;Простыня Страйп белый;140;200;690
1.13892E+12;Простыня Страйп коричневый;200;220;690
1.13892E+12;Подушка анатомическая Calidad;40;50;690
1.13892E+12;Подушка Line ;40;50;690
1.13892E+12;Подушка;68;68;690
1.13892E+12;Подушка стеганая Сидней ;50;70;690
1.13892E+12;Подушка;50;70;690
1.13892E+12;Подушка;60;60;690
1.13892E+12;Подушка анатомическая Simple;50;70;690
1.13892E+12;Подушка Лебяжий пух;60;60;990
1.13893E+12;Подушка эргономическая c эффектом памяти ;30;40;1490
1.13893E+12;Подушка;70;70;1490
1.13893E+12;Подушка Cool Night;68;68;1490
1.13893E+12;Подушка  Бомбей ;50;70;1490
1.13893E+12;Подушка Беннетта ;60;60;1490
1.13893E+12;Подушка Подушка анатомическая ;60;60;1490
1.13893E+12;Подушка стеганая Сидней ;60;60;140
1.13893E+12;Подушка Parro;50;70;140
1.13893E+12;Подушка Pluma;50;70;140
1.13893E+12;Подушка Ortho Bamboo Strong;50;70;175
1.13894E+12;Подушка КА10-3;50;70;175
1.13894E+12;Внутренняя подушка Бельвита;45;45;175
1.13894E+12;Подушка  Кораблик;50;70;195
1.13894E+12;Подушка Беннетта ;68;68;195
1.13894E+12;Подушка Pluma;30;40;195
1.13894E+12;Подушка Лебяжий пух;70;70;195
1.13894E+12;Подушка  SL Chalet;68;68;195
1.13894E+12;Подушка  Parro;50;70;195
1.13894E+12;Подушка  Line ;60;60;195
1.13895E+12;Подушка  Бамбук;60;60;195
1.13895E+12;Подушка Верблюжья шерсть;60;60;195
1.13895E+12;Подушка детская Эко-комфорт;50;70;195
1.13895E+12;Подушка Кашемир ;50;70;195
1.13895E+12;Подушка Soft Duo ;50;70;195
1.13895E+12;Подушка Для Женщин ;50;70;215
1.13895E+12;Подушка Кашемир ;45;45;1690
1.13895E+12;Подушка Extralife Plus;50;70;1690
1.13895E+12;Подушка Soft Duo ;68;68;2690
1.13896E+12;Подушка Ultra ;30;40;1990
1.13896E+12;Подушка Для Женщин;70;70;2490
1.13896E+12;Подушка Для Мужчин ;68;68;2690
1.13896E+12;Подушка Anatomico;50;70;2690
1.13896E+12;Подушка Bio Bamboo ;60;60;2690
1.13896E+12;Подушка Outlast 50х70 ;60;60;2690
1.13896E+12;Подушка анатомическая Ordinario;60;60;2990
1.13896E+12;Подушка анатомическая Spring Pillow;50;70;3690
1.13896E+12;Подушка Plumazo;50;70;3990
1.13897E+12;Подушка Bio Double;50;70;3990
1.13897E+12;Подушка Camello;50;70;3990
1.13897E+12;Подушка Ortho Bamboo Soft;45;45;3990
1.13897E+12;Подушка Bio Bamboo ;50;70;3990
1.13897E+12;Подушка Ergonomia;68;68;3990
1.13897E+12;Подушка Classic;30;40;4190
1.13897E+12;Подушка эргономичная Superior;70;70;4290
1.13897E+12;Подушка анатомическая Sleep Professor Darsia S;68;68;4290
1.13897E+12;Подушка Bio Down;50;70;4290
1.13898E+12;Подушка анатомическая Sleep Professor Darsia L;60;60;4290
1.13898E+12;Подушка Estrella;60;60;4290
1.13898E+12;Подушка  Pure Hydrocotton ;60;60;4290
1.13898E+12;Подушка анатомическая Sleep Professor Gloris S;50;70;4290
1.13898E+12;Подушка Purе;50;70;4290
1.13898E+12;Подушка Ergo Massage Soft;50;70;4290
1.13898E+12;Подушка  Для Мужчин ;50;70;4290
1.13898E+12;Подушка Ultra Cool ;45;45;4690
1.13898E+12;Подушка White Opal ;50;70;4990
1.13899E+12;Подушка эргономичная Resorte Superior;68;68;6400
1.13899E+12;Подушка Classic;68;68;6400
1.13899E+12;Покрывало стеганое;170;200;6400
1.13899E+12;Покрывало ;140;200;7990
1.13899E+12;Покрывало стеганое;140;200;260
1.13899E+12;Покрывало стеганое;130;170;290
1.13899E+12;Покрывало Эссе;140;200;490
1.13899E+12;Покрывало 4412;120;150;490
1.139E+12;Покрывало Супер софт Amarillo;140;200;490
1.139E+12;Покрывало Супер софт Anaranjado;140;200;520
1.139E+12;Покрывало  Супер софт Rosado;140;200;590
1.139E+12;Покрывало Супер софт Verde;150;200;590
1.139E+12;Покрывало Супер софт Indio;140;200;590
1.139E+12;Покрывало Верный друг;140;200;590
1.139E+12;Покрывало Кокос в ассортименте;220;240;590
1.139E+12;Покрывало Зелёный чай;200;220;590
1.139E+12;Покрывало Чек тайм;200;200;590
1.13901E+12;Покрывало Кокос;140;200;590
1.13901E+12;Покрывало Энджел;130;170;590
1.13901E+12;Покрывало  Luer;140;200;620
1.13901E+12;Покрывало Премиум Молли;140;200;620
1.13901E+12;Покрывало Премиум;120;150;640
1.13901E+12;Покрывало Nadal;140;200;640
1.13901E+12;Покрывало Премиум Трио;140;200;640
1.13901E+12;Покрывало Roselinda;140;200;640
1.13902E+12;Покрывало Roselinda;150;200;690
1.13902E+12;Покрывало  Энджел аква;140;200;690
1.13902E+12;Покрывало  Tiero;220;240;690
ПЦ-516-02461;Коврик;50;70;690
ПЦ-602-2462;Полотенце;50;100;690
ПЦС-1202-2463;Полотенце;100;150;690
ПЦ-7660-2828;Полотенца;80;150;690
ПЦ-728-2822;Полотенце;70;140;690
КЦ-634-734-1584;Комплекты полотенец;70;140;690
ПЦ-634-1250;Полотенца;50;100;690
ПЦ-502-2145;Полотенце;50;70;690
ПЦ-2672-2161;Полотенце;50;90;690
